id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3837839,Cosy 3-room studio near old center,13314551,Kris &  Marie,,Macharius - Heirnis,51.0517,3.73758,Entire home/apt,,2,148,2020-08-15,1.17,2,0,0,
3932670,"Cosy room in medieval house, centre",3545702,Trui,,Binnenstad,51.05888,3.72387,Private room,29,3,255,2024-05-22,2.38,1,6,16,
3951890,Apartment with a view,17773318,Philip En Fabi,,Ledeberg,51.03511,3.73769,Entire home/apt,85,45,203,2023-12-16,1.62,1,232,0,
4104274,"Room in nice appt 15min walk to centre, free bikes",21290432,Sofie,,Binnenstad,51.03752,3.73251,Private room,65,21,171,2024-07-27,1.37,1,173,18,
4397066,Open studio,11304146,Kristof,,Brugse Poort - Rooigem,51.06002,3.69982,Entire home/apt,42,90,22,2023-10-01,0.19,4,147,0,
4458417,house with 3 bedrooms and garden,6316738,Lies,,Brugse Poort - Rooigem,51.06145,3.69534,Entire home/apt,,5,12,2024-08-13,0.10,1,0,1,
4550799,Artist habitat in the center (6pax),23595340,Gaby,,Binnenstad,51.05636,3.72161,Private room,133,2,116,2024-12-22,0.95,2,300,15,
4589336,B&B cozy whole apartment,23789053,Tobby,,Nieuw Gent - UZ,51.02826,3.73011,Entire home/apt,,1,514,2024-09-03,4.19,1,0,41,
4591763,Romantic boat in Gent,23801608,Hans,,Macharius - Heirnis,51.04565,3.74406,Entire home/apt,95,2,602,2024-12-15,4.90,1,166,55,
4645775,"Charming & historic villa, garden + free! parking",5438353,Sofie,,Stationsbuurt Noord,51.03855,3.71455,Entire home/apt,250,2,352,2024-12-01,3.18,1,304,36,
4696196,Artist habitat in the center (2pax),23595340,Gaby,,Binnenstad,51.0571,3.72195,Private room,136,2,54,2024-12-08,0.44,2,307,2,
4733566,Spacious 3br family villa with big garden,14003598,Elfie,,Sint Denijs Westrem,51.02949,3.68237,Entire home/apt,,3,35,2024-08-30,0.29,1,0,3,
4975295,Raamhof Duplex: long stay in city center,6226459,Simon,,Elisabethbegijnhof - Papegaai,51.05489,3.71753,Entire home/apt,143,14,165,2022-12-31,1.37,2,309,0,
5224982,Water side stay in art deco cabin,13829824,Francis,,Muide - Meulestede - Afrikalaan,51.07564,3.72872,Entire home/apt,95,2,268,2024-10-05,2.23,6,344,32,
5273113,Your home for a stay of minimum 5 nights.,27297880,Kristiaan,,Stationsbuurt Noord,51.03323,3.72638,Private room,78,5,18,2024-10-12,0.24,1,63,1,
5303608,La cabane,18097910,Gino,,Dampoort,51.059704,3.74287,Entire home/apt,86,1,1033,2024-12-23,8.62,1,313,108,
5590250,"Modern, Luxurious, Quiet",28983914,Birger,,Stationsbuurt Zuid,51.02916,3.71097,Private room,65,5,113,2024-09-27,0.97,1,326,12,
5694820,Baudelo's duplex apartment (air conditioning),29523955,Anne-Marie,,Binnenstad,51.05792,3.72885,Entire home/apt,225,2,364,2024-09-15,3.06,1,53,10,
5799277,StudioD,1328011,Jan,,Elisabethbegijnhof - Papegaai,51.05021286010742,3.716377019882202,Entire home/apt,85,90,1,2024-06-30,0.17,5,220,1,
5908287,Maxi LOFT (200m2) met parking,29314978,Martine,,Brugse Poort - Rooigem,51.05444,3.69854,Entire home/apt,170,2,264,2024-12-17,2.30,1,252,34,
6054825,Bright apt. with free parking and free bicycles,757037,Wim,,Mariakerke,51.07254,3.69211,Entire home/apt,95,2,367,2024-10-24,3.12,1,47,34,
6279703,"Paon Royal, spacious room with private bathroom",9627775,Sandra Cecilia A,,Sint Amandsberg,51.06041,3.74717,Private room,180,2,13,2023-05-15,0.11,3,353,0,
6441548,FoudeGand.be - For Expats & Business Travellers,33631603,Peter,,Binnenstad,51.04678,3.73412,Entire home/apt,100,14,77,2024-08-02,0.70,1,193,5,
6807238,Uniek huisje in tuin centrum Gent,5050531,Bart,,Sluizeken - Tolhuis - Ham,51.06087,3.72955,Entire home/apt,100,2,84,2024-10-27,0.73,1,266,13,
6918908,Private and peaceful studio,10349286,Amanda,,Zwijnaarde,50.99797,3.71587,Entire home/apt,59,3,55,2024-12-19,0.48,1,203,7,
7556348,RENOVATED DUPLEX IN THE CENTRE,3362271,Céline,,Sluizeken - Tolhuis - Ham,51.06423,3.72795,Private room,68,2,266,2024-07-01,2.33,1,295,19,
7568806,Citycentre design app+garage+breakf,39681783,Ben/Barbara,,Binnenstad,51.05852,3.72578,Entire home/apt,125,1,807,2024-12-10,7.05,1,266,115,
7683600,Studio Guarda La Fotografia - Ghent,40352209,Filip,,Binnenstad,51.0516,3.7258,Entire home/apt,64,1,589,2024-12-22,5.27,2,318,82,
7906845,"Complete renovated house, spacious!",7679698,Wim,,Brugse Poort - Rooigem,51.06161,3.69804,Entire home/apt,140,5,84,2024-09-14,0.74,2,311,2,
7906941,"Volledig huis,alle comfort,privacy!",7679698,Wim,,Brugse Poort - Rooigem,51.06162,3.69804,Entire home/apt,140,5,157,2024-12-21,1.39,2,310,15,
8077970,Loft Lien in Gent Centrum,42670243,Herlinde,,Watersportbaan - Ekkergem,51.05264,3.70734,Entire home/apt,80,2,75,2024-12-15,0.67,1,74,11,
8347942,Spacious loft in the historical centre,39837750,Laurens,,Elisabethbegijnhof - Papegaai,51.05237,3.72016,Entire home/apt,147,3,470,2024-12-01,4.51,1,20,38,
8366610,Sunny & Stylish Loft in the Heart of the Old Town.,20327558,Dirk,,Binnenstad,51.053260803222656,3.7232909202575684,Entire home/apt,163,4,206,2024-12-10,1.83,1,314,27,
8482980,Modern spacious house near the city centre.,24314613,Klaas,,Sint Amandsberg,51.0644,3.75372,Entire home/apt,,4,1,2020-07-22,0.02,1,1,0,
8744894,Cozy Apartment with Patio by the Water,143141833,Nicole,,Binnenstad,51.05665,3.73258,Entire home/apt,134,2,127,2024-12-23,1.41,1,80,31,
8766948,Stylish apartment city centre Ghent,10131924,Dymphne,,Binnenstad,51.05,3.72928,Entire home/apt,99,2,213,2024-12-09,1.90,1,246,37,
8963647,2 Bedroom apartment centre Ghent,14549050,Wouter,,Elisabethbegijnhof - Papegaai,51.0547,3.71088,Entire home/apt,209,2,81,2024-12-08,0.76,1,299,3,
9024440,Authentic charm in medieval quarter,13037514,Marie-Catherine,,Binnenstad,51.05665,3.72254,Private room,69,1,323,2024-12-19,2.89,1,22,67,
9048939,Breathtaking Views in ❤ of Ghent with Hot Tub,17321727,Bert,,Elisabethbegijnhof - Papegaai,51.05314,3.72057,Entire home/apt,159,3,214,2024-12-11,1.93,1,255,40,
9087777,Fin-de-Siécle room in a Belle-Epoque house,47388258,F,,Dampoort,51.049,3.7453,Private room,61,1,880,2024-12-15,7.89,3,54,77,
9213284,Furnished 2 person apartment for rent in Ghent,25065540,Ram,,Zwijnaarde,51.01242,3.70261,Entire home/apt,53,30,2,2023-11-21,0.03,1,300,0,
9895777,Studio lumineux et confortable,38437518,Catherine,,Stationsbuurt Zuid,51.03602,3.70269,Entire home/apt,78,3,91,2024-11-11,0.84,1,352,11,
10015215,Ruim appartement hartje Gent.,51433840,Collin,,Binnenstad,51.05424,3.72308,Entire home/apt,300,5,119,2024-09-21,1.11,1,36,7,
10083084,Curiosity room in a Belle-Epoque house,47388258,F,,Dampoort,51.05013,3.74515,Private room,44,1,944,2024-12-13,8.61,3,49,88,
10093174,comfortable charming studio near StPieters station,51792074,Joris,,Stationsbuurt Noord,51.04151,3.70874,Entire home/apt,100,14,18,2019-11-13,0.17,1,365,0,
10175227,appartement in herenhuis in historisch centrum,52080636,Wouter,,Elisabethbegijnhof - Papegaai,51.05434,3.7142,Entire home/apt,140,2,179,2024-12-23,5.62,1,149,66,
10201604,Well-situated and Comfortable Home.,1792071,Sabine,,Stationsbuurt Zuid,51.03194,3.72416,Entire home/apt,135,1,525,2024-12-15,4.82,1,316,56,
10350818,Old Mansion House Apartment,23333629,Mia,,Binnenstad,51.04422,3.72189,Entire home/apt,95,7,94,2021-08-14,0.87,1,142,0,
10831917,Spacious apartment with terrace.,56088666,Lieven,,Sint Amandsberg,51.06125,3.7579,Entire home/apt,86,7,5,2024-06-15,0.05,1,261,1,
11308674,Luxurious suite in the historic centre of Ghent,28517059,Astrid & Gilles,,Binnenstad,51.0564,3.7231,Entire home/apt,323,1,277,2024-11-12,5.31,3,342,6,
